model,dataset,depth,pool,policy,threshold,n,baseline_accuracy,treatment_accuracy,difference,ci_low,ci_high,helped,harmed,mcnemar_p,memory_use_rate
phi4-mini,gsm8k,simple,all,placebo,,435,0.8942528735632184,0.8528735632183908,-0.041379310344827586,-0.0735632183908046,-0.009195402298850575,17,35,0.017533235299084904,
phi4-mini,gsm8k,simple,errors,always_top,,434,0.8940092165898618,0.8894009216589862,-0.004608294930875576,-0.018433179723502304,0.0069124423963133645,3,5,0.7265625,
phi4-mini,gsm8k,simple,errors,threshold_top,0.2999526757001877,434,0.8940092165898618,0.8894009216589862,-0.004608294930875576,-0.018433179723502304,0.0069124423963133645,3,5,0.7265625,0.11981566820276497
phi4-mini,gsm8k,simple,correct,always_top,,434,0.8940092165898618,0.8387096774193549,-0.055299539170506916,-0.08531105990783411,-0.02534562211981567,10,34,0.00038813090293388086,
phi4-mini,logiqa2,complex,all,always_top,,481,0.4261954261954262,0.4303534303534304,0.004158004158004158,-0.0395010395010395,0.05197505197505198,62,60,0.9279107996055393,
phi4-mini,logiqa2,complex,all,threshold_top,0.4215023005008698,481,0.4261954261954262,0.4303534303534304,0.004158004158004158,-0.04158004158004158,0.05197505197505198,62,60,0.9279107996055393,0.997920997920998
phi4-mini,logiqa2,complex,all,placebo,,477,0.4276729559748428,0.42348008385744235,-0.0041928721174004195,-0.04612159329140461,0.03563941299790356,49,51,0.9204107626128211,
phi4-mini,logiqa2,complex,errors,always_top,,481,0.4261954261954262,0.4365904365904366,0.010395010395010396,-0.02286902286902287,0.04573804573804574,40,35,0.6444639138942256,
phi4-mini,logiqa2,complex,errors,threshold_top,0.4595746931433678,481,0.4261954261954262,0.4365904365904366,0.010395010395010396,-0.02494802494802495,0.04781704781704782,39,34,0.6399729317539425,0.5322245322245323
phi4-mini,logiqa2,complex,correct,always_top,,481,0.4261954261954262,0.41995841995842,-0.006237006237006237,-0.035343035343035345,0.02079002079002079,22,25,0.7708669945730263,
phi4-mini,logiqa2,complex,correct,threshold_top,0.38676934331655505,481,0.4261954261954262,0.41995841995842,-0.006237006237006237,-0.033264033264033266,0.02286902286902287,22,25,0.7708669945730263,0.45322245322245325
phi4-mini,logiqa2,simple,all,always_top,,489,0.43558282208588955,0.4662576687116564,0.03067484662576687,-0.010224948875255624,0.07157464212678936,60,45,0.17156469715424197,
phi4-mini,logiqa2,simple,all,threshold_top,0.29990037977695466,489,0.43558282208588955,0.4662576687116564,0.03067484662576687,-0.012269938650306749,0.07157464212678936,60,45,0.17156469715424197,1.0
phi4-mini,logiqa2,simple,all,placebo,,485,0.4329896907216495,0.4556701030927835,0.02268041237113402,-0.020618556701030927,0.06804123711340206,66,55,0.3633632605480971,
phi4-mini,logiqa2,simple,errors,always_top,,489,0.43558282208588955,0.47648261758691207,0.0408997955010225,0.0081799591002045,0.0736196319018405,41,21,0.015134080997447081,
phi4-mini,logiqa2,simple,errors,threshold_top,0.29991161584854126,489,0.43558282208588955,0.47648261758691207,0.0408997955010225,0.010224948875255624,0.07157464212678936,41,21,0.015134080997447081,0.5501022494887525
phi4-mini,logiqa2,simple,correct,always_top,,489,0.43558282208588955,0.42535787321063395,-0.010224948875255624,-0.03680981595092025,0.014314928425357873,19,24,0.542384011856484,
phi4-mini,logiqa2,simple,correct,threshold_top,0.3533412289619446,489,0.43558282208588955,0.42535787321063395,-0.010224948875255624,-0.03885480572597137,0.016359918200409,19,24,0.542384011856484,0.4498977505112474
phi4-mini,openbookqa,complex,all,always_top,,201,0.7263681592039801,0.7014925373134329,-0.024875621890547265,-0.09950248756218906,0.04975124378109453,25,30,0.5900533317766354,
phi4-mini,openbookqa,complex,all,placebo,,195,0.7282051282051282,0.717948717948718,-0.010256410256410256,-0.07692307692307693,0.06153846153846154,23,25,0.8854334972865135,
phi4-mini,openbookqa,complex,errors,always_top,,201,0.7263681592039801,0.7014925373134329,-0.024875621890547265,-0.06480099502487562,0.014925373134328358,7,12,0.359283447265625,
phi4-mini,openbookqa,complex,errors,threshold_top,0.6554030105471612,201,0.7263681592039801,0.7114427860696517,-0.014925373134328358,-0.04477611940298507,0.014925373134328358,3,6,0.5078125,0.10945273631840796
phi4-mini,openbookqa,complex,correct,always_top,,201,0.7263681592039801,0.7263681592039801,0.0,-0.05970149253731343,0.05970149253731343,18,18,1.0,
phi4-mini,openbookqa,simple,all,always_top,,201,0.7263681592039801,0.7412935323383084,0.014925373134328358,-0.05472636815920398,0.0845771144278607,25,22,0.7708669945730263,
phi4-mini,openbookqa,simple,all,placebo,,195,0.7282051282051282,0.7128205128205128,-0.015384615384615385,-0.07692307692307693,0.046153846153846156,16,19,0.735878800856881,
phi4-mini,openbookqa,simple,errors,always_top,,201,0.7263681592039801,0.7064676616915423,-0.01990049751243781,-0.05970149253731343,0.014925373134328358,5,9,0.4239501953125,
phi4-mini,openbookqa,simple,errors,threshold_top,0.6731865742057563,201,0.7263681592039801,0.7213930348258707,-0.004975124378109453,-0.024875621890547265,0.014925373134328358,2,3,1.0,0.08955223880597014
phi4-mini,openbookqa,simple,correct,always_top,,201,0.7263681592039801,0.7611940298507462,0.03482587064676617,-0.024875621890547265,0.08955223880597014,20,13,0.296206368599087,
