dataset,student,depth,k,threshold,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,accuracy,accuracy_answered,mean_retrieved,pct_fallback_baseline,mcnemar_p
logiqa2,phi4-mini,complex,3,0.0,300,30,33,127,110,0.1,0.11,-0.01,0.5333,0.5233,-0.01,0.5233,0.5251,3.0,0.0,0.8013064925040663
logiqa2,phi4-mini,complex,3,0.53,300,33,34,126,107,0.11,0.1133,-0.0033,0.5333,0.53,-0.0033,0.53,0.5318,2.993333333333333,0.0,1.0
logiqa2,phi4-mini,complex,3,0.65,300,27,26,134,113,0.09,0.0867,0.0033,0.5333,0.5367,0.0033,0.5367,0.5385,1.6866666666666668,0.26666666666666666,1.0
logiqa2,phi4-mini,complex,3,0.67,300,21,21,139,119,0.07,0.07,0.0,0.5333,0.5333,0.0,0.5333,0.5333,1.1133333333333333,0.48333333333333334,1.0
logiqa2,phi4-mini,complex,3,0.7,300,15,17,143,125,0.05,0.0567,-0.0067,0.5333,0.5267,-0.0067,0.5267,0.5267,0.45,0.7366666666666667,0.860050065908581
logiqa2,llama3-8b,simple,1,0.0,300,25,35,130,110,0.0833,0.1167,-0.0333,0.55,0.5167,-0.0333,0.5167,0.5219,1.0,0.0,0.2450608330229457
logiqa2,llama3-8b,simple,1,0.53,300,25,37,128,110,0.0833,0.1233,-0.04,0.55,0.51,-0.04,0.51,0.5152,1.0,0.0,0.16188140552559763
logiqa2,llama3-8b,simple,1,0.65,300,22,28,137,113,0.0733,0.0933,-0.02,0.55,0.53,-0.02,0.53,0.5354,0.7333333333333333,0.26666666666666666,0.47988766169832786
logiqa2,llama3-8b,simple,1,0.67,300,19,19,146,116,0.0633,0.0633,0.0,0.55,0.55,0.0,0.55,0.5518,0.5166666666666667,0.48333333333333334,1.0
logiqa2,llama3-8b,simple,1,0.7,300,11,11,154,124,0.0367,0.0367,0.0,0.55,0.55,0.0,0.55,0.5518,0.2633333333333333,0.7366666666666667,1.0
logiqa2,llama3-8b,simple,2,0.0,300,28,38,127,107,0.0933,0.1267,-0.0333,0.55,0.5167,-0.0333,0.5167,0.5184,2.0,0.0,0.2678116648465871
logiqa2,llama3-8b,simple,2,0.53,300,28,38,127,107,0.0933,0.1267,-0.0333,0.55,0.5167,-0.0333,0.5167,0.5184,2.0,0.0,0.2678116648465871
logiqa2,llama3-8b,simple,2,0.65,300,25,29,136,110,0.0833,0.0967,-0.0133,0.55,0.5367,-0.0133,0.5367,0.5421,1.27,0.26666666666666666,0.6834892282353371
logiqa2,llama3-8b,simple,2,0.67,300,23,18,147,112,0.0767,0.06,0.0167,0.55,0.5667,0.0167,0.5667,0.5686,0.8566666666666667,0.48333333333333334,0.5327092552361137
logiqa2,llama3-8b,simple,2,0.7,300,15,11,154,120,0.05,0.0367,0.0133,0.55,0.5633,0.0133,0.5633,0.5652,0.39666666666666667,0.7366666666666667,0.557197093963623
logiqa2,llama3-8b,simple,3,0.0,300,32,36,129,103,0.1067,0.12,-0.0133,0.55,0.5367,-0.0133,0.5367,0.5421,3.0,0.0,0.716300760154337
